Name,EC50_value_original_target,IC50_value_original_target,pIC50_value_original_target,MW,logP,HBA,HBD,RotBonds,PSA,NoChiralCentres,Caco2_Ellinger_perc_inhibition,Vero-E6_Zaliani_perc_inhibition,Vero-E6_Touret_Inhibition_index,HRCE_Heiser_Hit_score,3CLPro_Kuzikov_perc_inihibition,3CLPro_Kuzikov_perc_IC50(nM),1479145_AC50(μM),1479145_AUC,1479145_Potency(μM),1479145_Efficacy(%),1479145_Activity,1479150_AC50(μM),1479150_AUC,1479150_Potency(μM),1479150_Efficacy(%),1479150_Activity,1479150_Tox,1479149_AC50(μM),1479149_AUC,1479149_Potency(μM),1479149_Efficacy(%),1479149_Activity,1479147_AC50(μM),1479147_AUC,1479147_Potency(μM),1479147_Efficacy(%),1479147_Activity,1479147_Tox,1508606_AC50(μM),1508606_AUC,1508606_Potency(μM),1508606_Efficacy(%),1508606_Activity,1508606_CPE_EC50(uM),1508606_CPE_perc_Efficacy,1508605_AC50(μM),1508605_AUC,1508605_Potency(μM),1508605_Efficacy(%),1508605_Activity,1508605_Tox,1508605_Cytotox_CC50(uM),1508605_perc_Cytotox
Tolterodine (tartrate),0,0,8.2006,475.582,3.21882,6,5,10,138.53,3,0,0,1.165,0,0,0,39.81071706,-10.0597169,0,0,0,0,-139.3818361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palonosetron (Hydrochloride),0,0,0,332.875,3.0783,2,0,1,23.55,4,57.4,0.02,0.9614,0.1883,-0.9864,0,0,-37.19548142,0,0,0,0,0.901762345,0,0,Inactive,Inactive,28.18382931,-83.07818418,28.1838,42.755,Inconclusive,0,-12.23620792,0,0,Inactive,Inactive,0,-1.975933887,,,,,,0,-30.35097602,,,,,,
Dapoxetine (hydrochloride),0,0,0,341.882,5.3334,2,0,6,12.47,1,65.1,0.09,0,0,5.583,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solifenacin (Succinate),0,0,7.197,480.561,3.8007,5,2,5,107.38,4,15.21,0.15,0,0,22.54,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indinavir (sulfate),0,150,6.824,711.882,2.2141,9,6,11,192.63,5,0,0,0.3816,0,0,0,0,-99.34935433,0,0,0,0,0,0,0,Inactive,Inactive,0,6.044445246,0,0,Inactive,0,0.660333522,0,0,Inactive,Inactive,0,16.6195617,,,,,,0,-22.93077735,,,,,,
Tiagabine (hydrochloride),0,0,6.829,412.02,5.46664,4,1,6,40.54,1,31.5,0.01,0.2483,0,-8.564,0,3.981071706,-23.56476591,3.9811,37.5546,0,0,-6.606118034,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,10.91633539,0,0,Inactive,Inactive,0,-2.59636294,,,,,,0,-33.52579994,,,,,,
Ethambutol (dihydrochloride),0,0,6.209,277.236,0.551,4,4,9,64.52,2,8.87,0.05,0,0,21.74,0,0,-86.39508515,0,0,0.5,0,4.141143292,0,0,Inactive,Inactive,0,5.762307416,0,0,Inactive,0,1.05984262,0,0,Inactive,Inactive,0,-2.452928521,,,,,,0,-16.78227429,,,,,,
Telotristat etiprate,0,0,7.796,754.166,5.48962,11,4,12,197.57,2,3.02,0.17,0,0,8.235,0,39.81071706,-68.04863548,0,0,0,0,-19.81621671,0,0,Inactive,Inactive,0,4.186659697,0,0,Inactive,0,1.158913405,0,0,Inactive,Inactive,0,13.9536923,,,,,,0,-10.74923334,,,,,,
Pergolide (mesylate),0,0,0,410.605,3.7751,4,2,4,73.4,3,1.63,-0.14,1.047,0,0.07731,0,0,-36.7887671,0,0,0,0,0.203604935,0,0,Inactive,Inactive,39.81071706,-17.85025251,39.8107,49.898,Inconclusive,0,0,0,0,Inactive,Inactive,0,1.585786295,,,,,,0,-18.38445142,,,,,,
Pyrantel (tartrate),0,0,0,356.4,0.3727,7,4,5,130.66,2,0,0,0.1796,0,0,0,0,-9.907019226,0,0,0,0,-15.82883637,0,0,Inactive,Inactive,0,-92.44778293,0,0,Inactive,0,-3.029288205,0,0,Inactive,Inactive,0,3.597812835,,,,,,0,-17.98430674,,,,,,
